%
%
%

@RELATION UCI_German

@ATTRIBUTE A1	{A11,A12,A13,A14}
@ATTRIBUTE A2	REAL
@ATTRIBUTE A3	{A31,A32,A33,A34,A35}
@ATTRIBUTE A4	{A41,A42,A43,A44,A45,A46,A47,A48,A49,A410,A411}
@ATTRIBUTE A5	REAL
@ATTRIBUTE A6	{A61,A62,A63,A64,A65}
@ATTRIBUTE A7	{A71,A72,A73,A74,A75}
@ATTRIBUTE A8	REAL
@ATTRIBUTE A9	{A91,A92,A93,A94,A95}
@ATTRIBUTE A10	{A101,A102,A103}
@ATTRIBUTE A11	REAL
@ATTRIBUTE A12	{A121,A122,A123,A124}
@ATTRIBUTE A13	REAL
@ATTRIBUTE A14	{A141,A142,A143}
@ATTRIBUTE A15	{A151,A152,A153}
@ATTRIBUTE A16	REAL
@ATTRIBUTE A17	{A171,A172,A173,A174}
@ATTRIBUTE A18	REAL
@ATTRIBUTE A19	{A191,A192}
@ATTRIBUTE A20	{A201,A202}
@ATTRIBUTE class	{0,1}

@DATA
A14,15.0,A35,A44,1360.0,A61,A73,4.0,A93,A101,2.0,A122,31.0,A143,A152,2.0,A173,1.0,A191,A201,0
A12,9.0,A32,A42,5129.0,A61,A75,2.0,A92,A101,4.0,A124,74.0,A141,A153,1.0,A174,2.0,A192,A201,1
A12,16.0,A35,A41,1175.0,A61,A71,2.0,A93,A101,3.0,A123,68.0,A143,A153,3.0,A171,1.0,A192,A201,0
A11,12.0,A33,A44,674.0,A62,A74,4.0,A94,A101,1.0,A122,20.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,18.0,A31,A43,3244.0,A61,A73,1.0,A92,A101,4.0,A123,33.0,A141,A152,2.0,A173,1.0,A192,A201,0
A14,24.0,A33,A410,4591.0,A64,A73,2.0,A93,A101,3.0,A122,54.0,A143,A152,3.0,A174,1.0,A192,A201,1
A12,48.0,A31,A410,3844.0,A62,A74,4.0,A93,A101,4.0,A124,34.0,A143,A153,1.0,A172,2.0,A191,A201,1
A12,27.0,A33,A410,3915.0,A61,A73,4.0,A93,A101,2.0,A123,36.0,A143,A152,1.0,A173,2.0,A192,A201,1
A14,6.0,A33,A44,2108.0,A61,A74,2.0,A94,A101,2.0,A121,29.0,A143,A151,1.0,A173,1.0,A191,A201,0
A12,45.0,A33,A44,3031.0,A62,A73,4.0,A93,A103,4.0,A122,21.0,A143,A151,1.0,A173,1.0,A191,A201,1
A12,9.0,A35,A47,1501.0,A61,A75,2.0,A92,A101,3.0,A123,34.0,A143,A152,2.0,A174,1.0,A192,A201,1
A14,6.0,A35,A44,1382.0,A61,A73,1.0,A92,A101,1.0,A123,28.0,A143,A152,2.0,A173,1.0,A192,A201,0
A12,12.0,A33,A43,951.0,A62,A72,4.0,A92,A101,4.0,A123,27.0,A141,A151,4.0,A173,1.0,A191,A201,1
A12,24.0,A33,A42,2760.0,A65,A75,4.0,A93,A101,4.0,A124,36.0,A141,A153,1.0,A173,1.0,A192,A201,0
A12,18.0,A34,A43,4297.0,A61,A75,4.0,A91,A101,3.0,A124,40.0,A143,A152,1.0,A174,1.0,A192,A201,1
A14,9.0,A35,A47,936.0,A63,A75,4.0,A93,A101,2.0,A123,52.0,A143,A152,2.0,A173,1.0,A192,A201,0
A11,12.0,A33,A41,1168.0,A61,A73,4.0,A94,A101,3.0,A121,27.0,A143,A152,1.0,A172,1.0,A191,A201,0
A14,27.0,A34,A410,5117.0,A61,A74,3.0,A93,A101,4.0,A123,26.0,A143,A152,2.0,A173,1.0,A191,A201,0
A11,12.0,A33,A49,902.0,A61,A74,4.0,A94,A101,4.0,A122,21.0,A143,A151,1.0,A173,1.0,A191,A201,1
A14,12.0,A35,A41,1495.0,A61,A75,4.0,A93,A101,1.0,A121,38.0,A143,A152,2.0,A172,2.0,A191,A201,0
A11,30.0,A35,A42,10623.0,A61,A75,3.0,A93,A101,4.0,A124,38.0,A143,A153,3.0,A174,2.0,A192,A201,0
A14,12.0,A35,A43,1935.0,A61,A75,4.0,A93,A101,4.0,A121,43.0,A143,A152,3.0,A173,1.0,A192,A201,0
A12,12.0,A35,A45,1424.0,A61,A74,4.0,A93,A101,3.0,A122,26.0,A143,A152,1.0,A173,1.0,A191,A201,0
A11,24.0,A33,A410,6568.0,A61,A73,2.0,A94,A101,2.0,A123,21.0,A142,A152,1.0,A172,1.0,A191,A201,0
A14,12.0,A33,A42,1413.0,A64,A74,3.0,A93,A101,2.0,A122,55.0,A143,A152,1.0,A173,1.0,A191,A202,0
A14,9.0,A35,A44,3074.0,A65,A73,1.0,A93,A101,2.0,A121,33.0,A143,A152,2.0,A173,2.0,A191,A201,0
A14,36.0,A33,A44,3835.0,A65,A75,2.0,A92,A101,4.0,A121,45.0,A143,A152,1.0,A172,1.0,A192,A201,0
A11,27.0,A31,A410,5293.0,A61,A71,2.0,A93,A101,4.0,A122,50.0,A142,A152,2.0,A173,1.0,A192,A201,1
A13,30.0,A34,A410,1908.0,A61,A75,4.0,A93,A101,4.0,A121,66.0,A143,A152,1.0,A174,1.0,A192,A201,1
A14,36.0,A35,A44,3342.0,A65,A75,4.0,A93,A101,2.0,A123,51.0,A143,A152,1.0,A173,1.0,A192,A201,0
A12,6.0,A35,A49,932.0,A65,A74,1.0,A92,A101,3.0,A122,39.0,A143,A152,2.0,A172,1.0,A191,A201,0
A11,18.0,A31,A410,3104.0,A61,A74,3.0,A93,A101,1.0,A122,31.0,A141,A152,1.0,A173,1.0,A192,A201,0
A13,36.0,A33,A44,3913.0,A61,A73,2.0,A93,A101,2.0,A121,23.0,A143,A152,1.0,A173,1.0,A192,A201,0
A11,24.0,A33,A43,3021.0,A61,A73,2.0,A91,A101,2.0,A121,24.0,A143,A151,1.0,A172,1.0,A191,A201,0
A14,10.0,A33,A41,1364.0,A61,A73,2.0,A92,A101,4.0,A123,64.0,A143,A152,1.0,A173,1.0,A192,A201,0
A12,12.0,A33,A44,625.0,A61,A72,4.0,A94,A103,1.0,A121,26.0,A141,A152,1.0,A172,1.0,A191,A201,0
A11,12.0,A33,A47,1200.0,A65,A73,4.0,A92,A101,4.0,A122,23.0,A141,A151,1.0,A173,1.0,A192,A201,0
A14,12.0,A33,A44,707.0,A61,A73,4.0,A93,A101,2.0,A121,30.0,A141,A152,2.0,A173,1.0,A191,A201,0
A14,24.0,A34,A410,2978.0,A65,A73,4.0,A93,A101,4.0,A121,32.0,A143,A152,2.0,A173,2.0,A192,A201,0
A14,15.0,A33,A42,4657.0,A61,A73,3.0,A93,A101,2.0,A123,30.0,A143,A152,1.0,A173,1.0,A192,A201,0
A14,36.0,A31,A46,2613.0,A61,A73,4.0,A93,A101,2.0,A123,27.0,A143,A152,2.0,A173,1.0,A191,A201,0
A12,48.0,A33,A44,10961.0,A64,A74,1.0,A93,A102,2.0,A124,27.0,A141,A152,2.0,A173,1.0,A192,A201,1
A11,12.0,A33,A43,7865.0,A61,A75,4.0,A93,A101,4.0,A124,53.0,A143,A153,1.0,A174,1.0,A192,A201,1
A14,9.0,A33,A44,1478.0,A61,A74,4.0,A93,A101,2.0,A123,22.0,A143,A152,1.0,A173,1.0,A191,A201,1
A11,24.0,A33,A43,3149.0,A61,A72,4.0,A93,A101,1.0,A124,22.0,A141,A153,1.0,A173,1.0,A191,A201,0
A13,36.0,A33,A44,4210.0,A61,A73,4.0,A93,A101,2.0,A123,26.0,A143,A152,1.0,A173,1.0,A191,A201,1
A14,9.0,A33,A41,2507.0,A63,A75,2.0,A93,A101,4.0,A124,51.0,A143,A153,1.0,A172,1.0,A191,A201,0
A14,12.0,A33,A44,2141.0,A62,A74,3.0,A93,A101,1.0,A124,35.0,A143,A152,1.0,A173,1.0,A191,A201,0
A12,18.0,A33,A44,866.0,A61,A73,4.0,A94,A103,2.0,A121,25.0,A143,A152,1.0,A172,1.0,A191,A201,0
A14,4.0,A35,A44,1544.0,A61,A74,2.0,A93,A101,1.0,A121,42.0,A143,A152,3.0,A172,2.0,A191,A201,0
A11,24.0,A33,A44,1823.0,A61,A71,4.0,A93,A101,2.0,A123,30.0,A142,A152,1.0,A174,2.0,A191,A201,1
A12,6.0,A33,A41,14555.0,A65,A71,1.0,A93,A101,2.0,A122,23.0,A143,A152,1.0,A171,1.0,A192,A201,1
A12,21.0,A33,A410,2767.0,A62,A75,4.0,A91,A101,2.0,A123,61.0,A141,A151,2.0,A172,1.0,A191,A201,1
A14,12.0,A35,A44,1291.0,A61,A73,4.0,A92,A101,2.0,A122,35.0,A143,A152,2.0,A173,1.0,A191,A201,0
A11,30.0,A33,A44,2522.0,A61,A75,1.0,A93,A103,3.0,A122,39.0,A143,A152,1.0,A173,2.0,A191,A201,0
A11,24.0,A33,A41,915.0,A65,A75,4.0,A92,A101,2.0,A123,29.0,A141,A152,1.0,A173,1.0,A191,A201,1
A14,6.0,A33,A44,1595.0,A61,A74,3.0,A93,A101,2.0,A122,51.0,A143,A152,1.0,A173,2.0,A191,A201,0
A11,48.0,A31,A42,4605.0,A61,A75,3.0,A93,A101,4.0,A124,24.0,A143,A153,2.0,A173,2.0,A191,A201,1
A14,12.0,A35,A410,1185.0,A61,A73,3.0,A92,A101,2.0,A121,27.0,A143,A152,2.0,A173,1.0,A191,A201,0
A14,12.0,A32,A49,3447.0,A63,A73,4.0,A92,A101,3.0,A121,35.0,A143,A152,1.0,A172,2.0,A191,A201,0
A14,24.0,A33,A410,1258.0,A61,A74,4.0,A93,A101,1.0,A121,25.0,A143,A152,1.0,A173,1.0,A192,A201,0
A14,12.0,A35,A44,717.0,A61,A75,4.0,A93,A101,4.0,A121,52.0,A143,A152,3.0,A173,1.0,A191,A201,0
A14,6.0,A31,A41,1204.0,A62,A73,4.0,A93,A101,1.0,A124,35.0,A141,A151,1.0,A173,1.0,A191,A202,0
A13,24.0,A33,A43,1925.0,A61,A73,2.0,A93,A101,2.0,A121,26.0,A143,A152,1.0,A173,1.0,A191,A201,0
A14,18.0,A33,A44,433.0,A61,A71,3.0,A92,A102,4.0,A121,22.0,A143,A151,1.0,A173,1.0,A191,A201,1
A11,6.0,A35,A41,666.0,A64,A74,3.0,A92,A101,4.0,A121,39.0,A143,A152,2.0,A172,1.0,A192,A201,0
A13,12.0,A33,A43,2251.0,A61,A73,1.0,A92,A101,2.0,A123,46.0,A143,A152,1.0,A172,1.0,A191,A201,0
A12,30.0,A33,A41,2150.0,A61,A73,4.0,A92,A103,2.0,A124,24.0,A141,A152,1.0,A173,1.0,A191,A201,1
A14,24.0,A34,A43,4151.0,A62,A73,2.0,A93,A101,3.0,A122,35.0,A143,A152,2.0,A173,1.0,A191,A201,0
A12,9.0,A33,A43,2030.0,A65,A74,2.0,A93,A101,1.0,A123,24.0,A143,A152,1.0,A173,1.0,A192,A201,0
A12,60.0,A34,A44,7418.0,A65,A73,1.0,A93,A101,1.0,A121,27.0,A143,A152,1.0,A172,1.0,A191,A201,0
A14,24.0,A35,A44,2684.0,A61,A73,4.0,A93,A101,2.0,A121,35.0,A143,A152,2.0,A172,1.0,A191,A201,0
A11,12.0,A32,A44,2149.0,A61,A73,4.0,A91,A101,1.0,A124,29.0,A143,A153,1.0,A173,1.0,A191,A201,1
A14,15.0,A33,A42,3812.0,A62,A72,1.0,A92,A101,4.0,A123,23.0,A143,A152,1.0,A173,1.0,A192,A201,0
A14,11.0,A35,A44,1154.0,A62,A71,4.0,A92,A101,4.0,A121,57.0,A143,A152,3.0,A172,1.0,A191,A201,0
A11,12.0,A33,A43,1657.0,A61,A73,2.0,A93,A101,2.0,A121,27.0,A143,A152,1.0,A173,1.0,A191,A201,0
A11,24.0,A33,A44,1603.0,A61,A75,4.0,A92,A101,4.0,A123,55.0,A143,A152,1.0,A173,1.0,A191,A201,0
A11,18.0,A35,A41,5302.0,A61,A75,2.0,A93,A101,4.0,A124,36.0,A143,A153,3.0,A174,1.0,A192,A201,0
A14,12.0,A35,A47,2748.0,A61,A75,2.0,A92,A101,4.0,A124,57.0,A141,A153,3.0,A172,1.0,A191,A201,0
A14,10.0,A35,A41,1231.0,A61,A75,3.0,A93,A101,4.0,A121,32.0,A143,A152,2.0,A172,2.0,A191,A202,0
A12,15.0,A33,A44,802.0,A61,A75,4.0,A93,A101,3.0,A123,37.0,A143,A152,1.0,A173,2.0,A191,A201,1
A14,36.0,A35,A410,6304.0,A65,A75,4.0,A93,A101,4.0,A121,36.0,A143,A152,2.0,A173,1.0,A191,A201,0
A14,24.0,A33,A44,1533.0,A61,A72,4.0,A92,A101,3.0,A123,38.0,A142,A152,1.0,A173,1.0,A192,A201,0
A11,14.0,A33,A41,8978.0,A61,A75,1.0,A91,A101,4.0,A122,45.0,A143,A152,1.0,A174,1.0,A192,A202,1
A14,24.0,A33,A44,999.0,A65,A75,4.0,A93,A101,2.0,A123,25.0,A143,A152,2.0,A173,1.0,A191,A201,0
A14,18.0,A33,A41,2662.0,A65,A74,4.0,A93,A101,3.0,A122,32.0,A143,A152,1.0,A173,1.0,A191,A202,0
A14,12.0,A35,A43,1402.0,A63,A74,3.0,A92,A101,4.0,A123,37.0,A143,A151,1.0,A173,1.0,A192,A201,0
A12,48.0,A32,A41,12169.0,A65,A71,4.0,A93,A102,4.0,A124,36.0,A143,A153,1.0,A174,1.0,A192,A201,0
A12,48.0,A33,A44,3060.0,A61,A74,4.0,A93,A101,4.0,A121,28.0,A143,A152,2.0,A173,1.0,A191,A201,1
A11,30.0,A33,A46,11998.0,A61,A72,1.0,A91,A101,1.0,A124,34.0,A143,A152,1.0,A172,1.0,A192,A201,1
A14,9.0,A33,A44,2697.0,A61,A73,1.0,A93,A101,2.0,A121,32.0,A143,A152,1.0,A173,2.0,A191,A201,0
A14,18.0,A35,A44,2404.0,A61,A73,2.0,A92,A101,2.0,A123,26.0,A143,A152,2.0,A173,1.0,A191,A201,0
A11,12.0,A33,A43,1262.0,A65,A75,2.0,A91,A101,4.0,A122,49.0,A143,A152,1.0,A172,1.0,A192,A201,0
A14,6.0,A33,A43,4611.0,A61,A72,1.0,A92,A101,4.0,A122,32.0,A143,A152,1.0,A173,1.0,A191,A201,1
A14,24.0,A33,A44,1901.0,A62,A73,4.0,A93,A101,4.0,A123,29.0,A143,A151,1.0,A174,1.0,A192,A201,0
A14,15.0,A35,A42,3368.0,A64,A75,3.0,A93,A101,4.0,A124,23.0,A143,A151,2.0,A173,1.0,A192,A201,0
A14,12.0,A33,A43,1574.0,A61,A73,4.0,A93,A101,2.0,A121,50.0,A143,A152,1.0,A173,1.0,A191,A201,0
A13,18.0,A32,A44,1445.0,A65,A74,4.0,A93,A101,4.0,A123,49.0,A141,A152,1.0,A172,1.0,A191,A201,0
A14,15.0,A35,A43,1520.0,A65,A75,4.0,A93,A101,4.0,A122,63.0,A143,A152,1.0,A173,1.0,A191,A201,0
A12,24.0,A35,A41,3878.0,A62,A72,4.0,A91,A101,2.0,A123,37.0,A143,A152,1.0,A173,1.0,A192,A201,0
A11,47.0,A33,A41,10722.0,A61,A72,1.0,A92,A101,1.0,A121,35.0,A143,A152,1.0,A172,1.0,A192,A201,0
A11,48.0,A33,A42,4788.0,A61,A74,4.0,A93,A101,3.0,A122,26.0,A143,A152,1.0,A173,2.0,A191,A201,0
A12,48.0,A34,A411,7582.0,A62,A71,2.0,A93,A101,4.0,A124,31.0,A143,A153,1.0,A174,1.0,A192,A201,0
A12,12.0,A33,A44,1092.0,A61,A73,4.0,A92,A103,4.0,A121,49.0,A143,A152,2.0,A173,1.0,A192,A201,0
A11,24.0,A34,A44,1024.0,A61,A72,4.0,A94,A101,4.0,A121,48.0,A142,A152,1.0,A173,1.0,A191,A201,1
A14,12.0,A33,A410,1076.0,A61,A73,2.0,A94,A101,2.0,A121,26.0,A143,A152,1.0,A173,1.0,A192,A202,0
A12,36.0,A33,A42,9398.0,A61,A72,1.0,A94,A101,4.0,A123,28.0,A143,A151,1.0,A174,1.0,A192,A201,1
A11,24.0,A35,A42,6419.0,A61,A75,2.0,A92,A101,4.0,A124,44.0,A143,A153,2.0,A174,2.0,A192,A201,0
A13,42.0,A35,A42,4796.0,A61,A75,4.0,A93,A101,4.0,A124,56.0,A143,A153,1.0,A173,1.0,A191,A201,0
A14,48.0,A35,A410,7629.0,A65,A75,4.0,A91,A101,2.0,A123,46.0,A141,A152,2.0,A174,2.0,A191,A201,0
A12,48.0,A33,A43,9960.0,A61,A72,1.0,A92,A101,2.0,A123,26.0,A143,A152,1.0,A173,1.0,A192,A201,1
A14,12.0,A33,A42,4675.0,A65,A72,1.0,A92,A101,4.0,A123,20.0,A143,A151,1.0,A173,1.0,A191,A201,0
A14,10.0,A33,A41,1287.0,A65,A75,4.0,A93,A102,2.0,A122,45.0,A143,A152,1.0,A172,1.0,A191,A202,0
A14,18.0,A33,A43,2515.0,A61,A73,3.0,A93,A101,4.0,A121,43.0,A143,A152,1.0,A173,1.0,A192,A201,0
A12,21.0,A35,A43,2745.0,A64,A74,3.0,A93,A101,2.0,A123,32.0,A143,A152,2.0,A173,1.0,A192,A201,0
A14,6.0,A33,A41,672.0,A61,A71,1.0,A92,A101,4.0,A121,54.0,A143,A152,1.0,A171,1.0,A192,A201,0
A12,36.0,A31,A44,3804.0,A61,A73,4.0,A92,A101,1.0,A123,42.0,A143,A152,1.0,A173,1.0,A192,A201,1
A13,24.0,A35,A41,1344.0,A65,A74,4.0,A93,A101,2.0,A121,37.0,A141,A152,2.0,A172,2.0,A191,A201,1
A11,10.0,A35,A41,1038.0,A61,A74,4.0,A93,A102,3.0,A122,49.0,A143,A152,2.0,A173,1.0,A192,A201,0
A14,48.0,A35,A41,10127.0,A63,A73,2.0,A93,A101,2.0,A124,44.0,A141,A153,1.0,A173,1.0,A191,A201,1
A14,6.0,A33,A43,1543.0,A64,A73,4.0,A91,A101,2.0,A121,33.0,A143,A152,1.0,A173,1.0,A191,A201,0
A14,30.0,A33,A42,4811.0,A65,A74,2.0,A92,A101,4.0,A122,24.0,A142,A151,1.0,A172,1.0,A191,A201,0
A11,12.0,A33,A44,727.0,A62,A72,4.0,A94,A101,3.0,A124,33.0,A143,A152,1.0,A172,1.0,A192,A201,1
A12,8.0,A33,A43,1237.0,A61,A73,3.0,A92,A101,4.0,A121,24.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,9.0,A33,A41,276.0,A61,A73,4.0,A94,A101,4.0,A121,22.0,A143,A151,1.0,A172,1.0,A191,A201,0
A12,48.0,A33,A411,5381.0,A65,A71,3.0,A93,A101,4.0,A124,40.0,A141,A153,1.0,A171,1.0,A192,A201,0
A14,24.0,A33,A43,5511.0,A62,A73,4.0,A93,A101,1.0,A123,25.0,A142,A152,1.0,A173,1.0,A191,A201,0
A13,24.0,A33,A43,3749.0,A61,A72,2.0,A92,A101,4.0,A123,26.0,A143,A152,1.0,A173,1.0,A191,A201,0
A12,12.0,A33,A41,685.0,A61,A74,2.0,A94,A101,3.0,A123,25.0,A141,A152,1.0,A172,1.0,A191,A201,1
A13,4.0,A33,A41,1494.0,A65,A72,1.0,A93,A101,2.0,A121,29.0,A143,A152,1.0,A172,2.0,A191,A202,0
A11,36.0,A32,A43,2746.0,A61,A75,4.0,A93,A101,4.0,A123,31.0,A141,A152,1.0,A173,1.0,A191,A201,1
A11,12.0,A33,A43,708.0,A61,A73,2.0,A93,A103,3.0,A122,38.0,A143,A152,1.0,A172,2.0,A191,A201,0
A12,24.0,A33,A43,4351.0,A65,A73,1.0,A92,A101,4.0,A122,48.0,A143,A152,1.0,A172,1.0,A192,A201,0
A14,12.0,A35,A47,701.0,A61,A73,4.0,A93,A101,2.0,A123,32.0,A143,A152,2.0,A173,1.0,A191,A201,0
A11,15.0,A34,A43,3643.0,A61,A75,1.0,A92,A101,4.0,A122,27.0,A143,A152,2.0,A172,1.0,A191,A201,0
A12,30.0,A35,A41,4249.0,A61,A71,4.0,A94,A101,2.0,A123,28.0,A143,A152,2.0,A174,1.0,A191,A201,1
A11,24.0,A33,A44,1938.0,A61,A72,4.0,A91,A101,3.0,A122,32.0,A143,A152,1.0,A173,1.0,A191,A201,1
A11,24.0,A33,A42,2910.0,A61,A74,2.0,A93,A101,1.0,A124,34.0,A143,A153,1.0,A174,1.0,A192,A201,0
A11,18.0,A33,A43,2659.0,A64,A73,4.0,A93,A101,2.0,A123,28.0,A143,A152,1.0,A173,1.0,A191,A201,0
A14,18.0,A35,A41,1028.0,A61,A73,4.0,A92,A101,3.0,A121,36.0,A143,A152,2.0,A173,1.0,A191,A201,0
A11,8.0,A35,A41,3398.0,A61,A74,1.0,A93,A101,4.0,A121,39.0,A143,A152,2.0,A172,1.0,A191,A202,0
A14,12.0,A35,A43,5801.0,A65,A75,2.0,A93,A101,4.0,A122,49.0,A143,A151,1.0,A173,1.0,A192,A201,0
A14,24.0,A33,A41,1525.0,A64,A74,4.0,A92,A101,3.0,A123,34.0,A143,A152,1.0,A173,2.0,A192,A201,0
A13,36.0,A33,A44,4473.0,A61,A75,4.0,A93,A101,2.0,A123,31.0,A143,A152,1.0,A173,1.0,A191,A201,0
A12,6.0,A33,A44,1068.0,A61,A75,4.0,A93,A101,4.0,A123,28.0,A143,A152,1.0,A173,2.0,A191,A201,0
A11,24.0,A35,A42,6615.0,A61,A71,2.0,A93,A101,4.0,A124,75.0,A143,A153,2.0,A174,1.0,A192,A201,0
A14,18.0,A35,A47,1864.0,A62,A73,4.0,A92,A101,2.0,A121,30.0,A143,A152,2.0,A173,1.0,A191,A201,1
A12,60.0,A33,A41,7408.0,A62,A72,4.0,A92,A101,2.0,A122,24.0,A143,A152,1.0,A174,1.0,A191,A201,1
A14,48.0,A35,A42,11590.0,A62,A73,2.0,A92,A101,4.0,A123,24.0,A141,A151,2.0,A172,1.0,A191,A201,1
A11,24.0,A31,A43,4110.0,A61,A75,3.0,A93,A101,4.0,A124,23.0,A141,A151,2.0,A173,2.0,A191,A201,1
A11,6.0,A35,A43,3384.0,A61,A73,1.0,A91,A101,4.0,A121,44.0,A143,A151,1.0,A174,1.0,A192,A201,1
A12,13.0,A33,A44,2101.0,A61,A72,2.0,A92,A103,4.0,A122,23.0,A143,A152,1.0,A172,1.0,A191,A201,0
A11,15.0,A33,A45,1275.0,A65,A73,4.0,A92,A101,2.0,A123,24.0,A143,A151,1.0,A173,1.0,A191,A201,1
A11,24.0,A33,A43,4169.0,A61,A73,4.0,A93,A101,4.0,A122,28.0,A143,A152,1.0,A173,1.0,A191,A201,0
A12,10.0,A33,A43,1521.0,A61,A73,4.0,A91,A101,2.0,A123,31.0,A143,A152,1.0,A172,1.0,A191,A201,0
A12,24.0,A35,A47,5743.0,A61,A72,2.0,A92,A101,4.0,A124,24.0,A143,A153,2.0,A173,1.0,A192,A201,0
A11,21.0,A33,A43,3599.0,A61,A74,1.0,A92,A101,4.0,A123,26.0,A143,A151,1.0,A172,1.0,A191,A201,0
A12,18.0,A33,A44,3213.0,A63,A72,1.0,A94,A101,3.0,A121,25.0,A143,A151,1.0,A173,1.0,A191,A201,0
A12,18.0,A33,A410,4439.0,A61,A75,1.0,A93,A102,1.0,A121,33.0,A141,A152,1.0,A174,1.0,A192,A201,0
A13,10.0,A33,A41,3949.0,A61,A72,1.0,A93,A103,1.0,A122,37.0,A143,A152,1.0,A172,2.0,A191,A201,0
A14,15.0,A35,A44,1459.0,A61,A73,4.0,A92,A101,2.0,A123,43.0,A143,A152,1.0,A172,1.0,A191,A201,0
A12,13.0,A35,A44,882.0,A61,A72,4.0,A93,A103,4.0,A121,23.0,A143,A152,2.0,A173,1.0,A191,A201,0
A12,24.0,A33,A44,3758.0,A63,A71,1.0,A92,A101,4.0,A124,23.0,A143,A151,1.0,A171,1.0,A191,A201,0
A14,6.0,A34,A410,1743.0,A62,A73,1.0,A93,A101,2.0,A121,34.0,A143,A152,2.0,A172,1.0,A191,A201,0
A12,9.0,A35,A47,1136.0,A64,A75,4.0,A93,A101,3.0,A124,32.0,A143,A153,2.0,A173,2.0,A191,A201,1
A14,9.0,A33,A45,1236.0,A61,A72,1.0,A92,A101,4.0,A121,23.0,A143,A151,1.0,A173,1.0,A192,A201,0
A12,9.0,A33,A43,959.0,A61,A73,1.0,A92,A101,2.0,A123,29.0,A143,A152,1.0,A173,1.0,A191,A202,1
A14,18.0,A35,A42,3229.0,A65,A71,2.0,A93,A101,4.0,A124,38.0,A143,A152,1.0,A174,1.0,A192,A201,0
A11,12.0,A31,A44,6199.0,A61,A73,4.0,A93,A101,2.0,A122,28.0,A143,A151,2.0,A173,1.0,A192,A201,1
A14,10.0,A33,A47,727.0,A63,A75,4.0,A93,A101,4.0,A124,46.0,A143,A153,1.0,A173,1.0,A192,A201,0
A12,24.0,A33,A41,1246.0,A61,A72,4.0,A93,A101,2.0,A121,23.0,A142,A152,1.0,A172,1.0,A191,A201,1
A14,12.0,A35,A44,2331.0,A65,A75,1.0,A93,A102,4.0,A121,49.0,A143,A152,1.0,A173,1.0,A192,A201,0
A14,36.0,A34,A44,4463.0,A61,A73,4.0,A93,A101,2.0,A123,26.0,A143,A152,2.0,A174,1.0,A192,A201,1
A14,12.0,A33,A44,776.0,A61,A73,4.0,A94,A101,2.0,A121,28.0,A143,A152,1.0,A173,1.0,A191,A201,0
A11,30.0,A33,A43,2406.0,A61,A74,4.0,A92,A101,4.0,A121,23.0,A143,A151,1.0,A173,1.0,A191,A201,1
A12,18.0,A33,A47,1239.0,A65,A73,4.0,A93,A101,4.0,A124,61.0,A143,A153,1.0,A173,1.0,A191,A201,0
A13,12.0,A33,A44,3399.0,A65,A75,2.0,A93,A101,3.0,A123,37.0,A143,A152,1.0,A174,1.0,A191,A201,0
A13,12.0,A34,A41,2247.0,A61,A73,2.0,A92,A101,2.0,A123,36.0,A142,A152,2.0,A173,1.0,A192,A201,0
A14,6.0,A33,A43,1766.0,A61,A73,1.0,A94,A101,2.0,A122,21.0,A143,A151,1.0,A173,1.0,A191,A201,0
A11,18.0,A33,A43,2473.0,A61,A71,4.0,A93,A101,1.0,A123,25.0,A143,A152,1.0,A171,1.0,A191,A201,1
A14,12.0,A33,A410,1542.0,A61,A74,2.0,A93,A101,4.0,A123,36.0,A143,A152,1.0,A173,1.0,A192,A201,0
A14,18.0,A35,A42,3850.0,A61,A74,3.0,A93,A101,1.0,A123,27.0,A143,A152,2.0,A173,1.0,A191,A201,0
A11,18.0,A33,A43,3650.0,A61,A72,1.0,A92,A101,4.0,A123,22.0,A143,A151,1.0,A173,1.0,A191,A201,0
A11,36.0,A33,A43,3446.0,A61,A75,4.0,A93,A101,2.0,A123,42.0,A143,A152,1.0,A173,2.0,A191,A201,1
A12,18.0,A33,A43,3001.0,A61,A74,2.0,A92,A101,4.0,A121,40.0,A143,A151,1.0,A173,1.0,A191,A201,0
A14,36.0,A33,A41,3079.0,A65,A73,4.0,A93,A101,4.0,A121,36.0,A143,A152,1.0,A173,1.0,A191,A201,0
A14,18.0,A35,A44,6070.0,A61,A75,3.0,A93,A101,4.0,A123,33.0,A143,A152,2.0,A173,1.0,A192,A201,0
A14,10.0,A35,A43,2146.0,A61,A72,1.0,A92,A101,3.0,A121,23.0,A143,A151,2.0,A173,1.0,A191,A201,0
A14,60.0,A35,A41,13756.0,A65,A75,2.0,A93,A101,4.0,A124,63.0,A141,A153,1.0,A174,1.0,A192,A201,0
A12,60.0,A32,A411,14782.0,A62,A75,3.0,A92,A101,4.0,A124,60.0,A141,A153,2.0,A174,1.0,A192,A201,1
A11,48.0,A32,A410,7685.0,A61,A74,2.0,A92,A103,4.0,A123,37.0,A143,A151,1.0,A173,1.0,A191,A201,1
A14,18.0,A34,A44,2320.0,A61,A71,2.0,A94,A101,3.0,A121,34.0,A143,A152,2.0,A173,1.0,A191,A201,0
